Week,Topic,Phase,Dependencies,Integrations,Duration,Pre-Call Prep,Must-Ask Questions,Common Pitfalls,Resources
13.1,Marketplace Testing Part 1,3,2.2,Vendor Manager,120 min,Test properties ready,Which vendors to test? Products needed?,Not testing actual workflow,Marketplace Guide
13.2,Marketplace Testing Part 2,3,13.1,Vendor Manager,120 min,Vendor feedback gathered,Auto-order rules? Performance metrics?,Vendors not ready,Vendor Setup Guide
14.1,Marketplace Auto-Ordering,3,13.2,None,90 min,Rules criteria defined,Round robin? Percentage split? Default terms?,Rules too complex,Auto-Order Guide
14.2,Other Integrations,3,None,None,90 min,Integration list ready,Simplifile? Shipping? SSO needed?,Integration delays,Integration Checklist
15.1,Global Accounting & Recon,3,4.1,None,120 min,Test transactions ready,Auto-clearing rules? Positive pay?,Recon not balancing,Accounting Guide
15.2,SPIRE and EMD Demos,3,4.1,Shield Team,90 min,Shield discussion ready,Risk tolerance? EMD collection method?,Not understanding risk assessment,Shield Overview
16.1,Shield Configurations,3,15.2,Shield Team,90 min,Permission decisions made,Who can send wires? Notification preferences?,Too many wire permissions,Shield Config Guide
16.2,Wire Testing,3,16.1,Shield Team,120 min,Test wire ready,Bank portal access? Release process?,Failed wire test,Wire Testing Guide
17.1,Audit Dashboard & Aggregates,3,15.1,None,90 min,Aggregate payees identified,Which aggregates needed? ARD setup?,Missing key aggregates,Audit Guide
18.1,Reports & Packages,3,None,None,90 min,Report requirements gathered,Which reports critical? Subscriptions needed?,Not setting up subscriptions,Reports Guide
18.2,Revenue & Custom Reports,3,18.1,None,90 min,Revenue tracking requirements,JV reporting? Custom fields needed?,Revenue not tracking correctly,Revenue Guide
19-21,Additional Testing,4,All,None,Variable,Test files ready,UAT scenarios? Issue tracking?,Insufficient test coverage,Testing Checklist
21,Training,4,None,Training Team,Variable,Training plan confirmed,Train-the-trainer? Schedule confirmed?,No-shows; Not prepared,Training Guide
22,First Go-Live,4,21,CSM,Variable,Go-live checklist complete,Support plan? Issue escalation?,Not ready; No support plan,Go-Live Checklist
23-26,RON & 1099 & Phases,4,22,None,Variable,Advanced features identified,RON needed? 1099 setup? Next phases?,Scope creep,Advanced Features Guide
27-30,Graduation,4,26,CSM,Variable,Success metrics documented,Handoff ready? Documentation complete?,Incomplete handoff,Graduation Checklist
